youtube_channel_id,youtube_channel_handle,title,company_id,source_url,added_at
UCODHrzPMGbNv67e84WDZhQQ,fern-tv,fern,electrify,https://www.electrify.video/post/electrify-expands-into-investigative-journalism-with-partnership-in-leading-documentary-channels,2025-07-25
UCKGMHVipEvuZudhHD05FOYA,Simplicissimus,Simplicissimus,electrify,https://www.electrify.video/post/electrify-expands-into-investigative-journalism-with-partnership-in-leading-documentary-channels,2025-07-25
UC9h7UoNb95t_b5A4eHmRnFw,unfassbar,UNFASSBAR – ein Simplicissimus Podcast,electrify,https://www.electrify.video/post/electrify-expands-into-investigative-journalism-with-partnership-in-leading-documentary-channels,2025-07-25
